,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,fx_stablecoin,max_slippage_percentage,post_only,limit_only,cancel_only,trading_disabled,status,status_message,auction_mode
211,DOT-EUR,DOT,EUR,0.01,10000,0.001,0.001,DOT/EUR,5,100000,False,False,0.10000000,False,False,False,False,online,,False
212,BAT-ETH,BAT,ETH,1,300000,0.00000001,1,BAT/ETH,0.01,500,False,False,0.10000000,False,False,False,False,online,,False
213,LOOM-USDC,LOOM,USDC,1,2500000,0.000001,1,LOOM/USDC,0.1,100000,False,False,0.10000000,False,False,False,False,online,,False
214,SKL-BTC,SKL,BTC,5,1000000,0.00000001,0.1,SKL/BTC,0.0001,2.0,False,False,0.10000000,False,False,False,False,online,,False
215,DOT-USD,DOT,USD,0.01,10000,0.001,0.001,DOT/USD,5,200000,False,False,0.10000000,False,False,False,False,online,,False
216,UST-USDT,UST,USDT,1,250000,0.001,0.01,UST/USDT,5.0,100000,False,True,0.10000000,False,True,False,False,online,,False
217,NU-BTC,NU,BTC,10,1300000,0.00000001,1,NU/BTC,0.0001,6,False,False,0.10000000,False,False,False,False,online,,False
218,CHZ-EUR,CHZ,EUR,1,900000,0.0001,0.1,CHZ/EUR,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
219,1INCH-EUR,1INCH,EUR,0.1,59000,0.001,0.01,1INCH/EUR,5,100000,False,False,0.10000000,False,False,False,False,online,,False
220,XLM-EUR,XLM,EUR,1,600000,0.000001,1,XLM/EUR,0.1,100000,False,False,0.10000000,False,False,False,False,online,,False
221,DAI-USD,DAI,USD,1,2000000,0.000001,0.00001,DAI/USD,5,2000000,False,True,0.01000000,False,False,False,False,online,,False
222,WLUNA-BTC,WLUNA,BTC,0.01,17000,0.0000001,0.001,WLUNA/BTC,0.0001,2,False,False,0.10000000,False,True,False,False,online,,False
223,BCH-USD,BCH,USD,0.01,700,0.01,0.00000001,BCH/USD,10,500000,False,False,0.10000000,False,False,False,False,online,,False
224,SUSHI-BTC,SUSHI,BTC,0.1,12500,0.00000001,0.01,SUSHI/BTC,0.0001,2,False,False,0.10000000,False,False,False,False,online,,False
225,FET-USDT,FET,USDT,1,1100000,0.0001,0.1,FET/USDT,5.0,100000,False,False,0.10000000,False,False,False,False,online,,False
